,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
44,Jan 4-6,112470805,-28.8,139793714,-24.8,89,National Treasure: Book of Secrets,1,https://www.boxofficemojo.com/weekend/2008W01/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl2338620929/?ref_=bo_wey_table_60
43,Jan 11-13,98786197,-12.2,130426078,-6.7,98,The Bucket List,2,https://www.boxofficemojo.com/weekend/2008W02/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl2873722369/?ref_=bo_wey_table_59
51,Jan 18-20,126624750,28.2,154669517,18.6,101,Cloverfield,3,https://www.boxofficemojo.com/weekend/2008W03/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl2019919361/?ref_=bo_wey_table_58
42,Jan 25-27,109183558,-13.8,144150492,-6.8,108,Meet the Spartans,4,https://www.boxofficemojo.com/weekend/2008W04/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl727877121/?ref_=bo_wey_table_56
41,Feb 1-3,94843468,-13.1,128681821,-10.7,107,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,5,https://www.boxofficemojo.com/weekend/2008W05/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl508986881/?ref_=bo_wey_table_55
40,Feb 8-10,83480396,-12.0,112262045,-12.8,107,Fool's Gold,6,https://www.boxofficemojo.com/weekend/2008W06/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl1918010881/?ref_=bo_wey_table_54
50,Feb 15-17,111505912,33.6,139052789,23.9,99,Jumper,7,https://www.boxofficemojo.com/weekend/2008W07/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl2556265985/?ref_=bo_wey_table_52
39,Feb 22-24,85162089,-23.6,110410094,-20.6,114,Vantage Point,8,https://www.boxofficemojo.com/weekend/2008W08/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl41518593/?ref_=bo_wey_table_51
38,Feb 29-Mar 2,73841003,-13.3,97723152,-11.5,118,Semi-Pro,9,https://www.boxofficemojo.com/weekend/2008W09/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl1953400321/?ref_=bo_wey_table_50
37,Mar 7-9,86928662,17.7,107381602,9.9,119,"10,000 BC",10,https://www.boxofficemojo.com/weekend/2008W10/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl977372673/?ref_=bo_wey_table_49
36,Mar 14-16,101862262,17.2,120687394,12.4,124,Horton Hears a Who!,11,https://www.boxofficemojo.com/weekend/2008W11/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl509117953/?ref_=bo_wey_table_48
49,Mar 21-23,94656916,-7.1,113866325,-5.7,118,Horton Hears a Who!,12,https://www.boxofficemojo.com/weekend/2008W12/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl509117953/?ref_=bo_wey_table_47
35,Mar 28-30,85512670,-9.7,106960934,-6.1,123,21,13,https://www.boxofficemojo.com/weekend/2008W13/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl1514243585/?ref_=bo_wey_table_45
34,Apr 4-6,76219857,-10.9,95797267,-10.4,129,21,14,https://www.boxofficemojo.com/weekend/2008W14/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl1514243585/?ref_=bo_wey_table_44
33,Apr 11-13,77792738,2.1,95162842,-0.7,125,Prom Night,15,https://www.boxofficemojo.com/weekend/2008W15/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl929728001/?ref_=bo_wey_table_43
32,Apr 18-20,79673117,2.4,93848411,-1.4,134,The Forbidden Kingdom,16,https://www.boxofficemojo.com/weekend/2008W16/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl1632798209/?ref_=bo_wey_table_42
31,Apr 25-27,76023855,-4.6,91236400,-2.8,145,Baby Mama,17,https://www.boxofficemojo.com/weekend/2008W17/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl2017822209/?ref_=bo_wey_table_41
30,May 2-4,148431129,95.2,159000645,74.3,135,Iron Man,18,https://www.boxofficemojo.com/weekend/2008W18/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl1482327553/?ref_=bo_wey_table_40
29,May 9-11,115983162,-21.9,125571278,-21.0,136,Iron Man,19,https://www.boxofficemojo.com/weekend/2008W19/?ref_=bo_wey_table_39,https://www.boxofficemojo.com/release/rl1482327553/?ref_=bo_wey_table_39
28,May 16-18,124788668,7.6,132484294,5.5,135,The Chronicles of Narnia: Prince Caspian,20,https://www.boxofficemojo.com/weekend/2008W20/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl2640610817/?ref_=bo_wey_table_38
48,May 23-25,166568045,33.5,172319606,30.1,121,Indiana Jones and the Kingdom of the Crystal Skull,21,https://www.boxofficemojo.com/weekend/2008W21/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl2321253889/?ref_=bo_wey_table_37
27,May 30-Jun 1,163144136,-2.1,168531880,-2.2,134,Sex and the City,22,https://www.boxofficemojo.com/weekend/2008W22/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl3211691521/?ref_=bo_wey_table_35
26,Jun 6-8,169909290,4.1,175464379,4.1,123,Kung Fu Panda,23,https://www.boxofficemojo.com/weekend/2008W23/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl3562833409/?ref_=bo_wey_table_34
25,Jun 13-15,174921744,3.0,179896805,2.5,127,The Incredible Hulk,24,https://www.boxofficemojo.com/weekend/2008W24/?ref_=bo_wey_table_33,https://www.boxofficemojo.com/release/rl2791015937/?ref_=bo_wey_table_33
24,Jun 20-22,135822136,-22.4,143215343,-20.4,123,Get Smart,25,https://www.boxofficemojo.com/weekend/2008W25/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl3914696193/?ref_=bo_wey_table_32
23,Jun 27-29,176907464,30.2,185436843,29.5,129,WALLÂ·E,26,https://www.boxofficemojo.com/weekend/2008W26/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl3615065601/?ref_=bo_wey_table_31
22,Jul 4-6,149925900,-15.3,160175719,-13.6,116,Hancock,27,https://www.boxofficemojo.com/weekend/2008W27/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl746030593/?ref_=bo_wey_table_30
21,Jul 11-13,139919684,-6.7,151360113,-5.5,127,Hellboy II: The Golden Army,28,https://www.boxofficemojo.com/weekend/2008W28/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl844727809/?ref_=bo_wey_table_29
20,Jul 18-20,250971601,79.4,260528431,72.1,122,The Dark Knight,29,https://www.boxofficemojo.com/weekend/2008W29/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_wey_table_28
19,Jul 25-27,170701895,-32.0,180876759,-30.6,120,The Dark Knight,30,https://www.boxofficemojo.com/weekend/2008W30/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_wey_table_27
18,Aug 1-3,140934095,-17.4,153060805,-15.4,122,The Dark Knight,31,https://www.boxofficemojo.com/weekend/2008W31/?ref_=bo_wey_table_26,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_wey_table_26
17,Aug 8-10,108322998,-23.1,121575179,-20.6,123,The Dark Knight,32,https://www.boxofficemojo.com/weekend/2008W32/?ref_=bo_wey_table_25,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_wey_table_25
16,Aug 15-17,106423430,-1.8,125105639,2.9,123,Tropic Thunder,33,https://www.boxofficemojo.com/weekend/2008W33/?ref_=bo_wey_table_24,https://www.boxofficemojo.com/release/rl3782706689/?ref_=bo_wey_table_24
15,Aug 22-24,82667170,-22.3,106158138,-15.1,120,Tropic Thunder,34,https://www.boxofficemojo.com/weekend/2008W34/?ref_=bo_wey_table_23,https://www.boxofficemojo.com/release/rl3782706689/?ref_=bo_wey_table_23
47,Aug 29-31,68515837,-17.1,98191562,-7.5,121,Tropic Thunder,35,https://www.boxofficemojo.com/weekend/2008W35/?ref_=bo_wey_table_22,https://www.boxofficemojo.com/release/rl3782706689/?ref_=bo_wey_table_22
14,Sep 5-7,46350874,-32.4,68005476,-30.7,126,Bangkok Dangerous,36,https://www.boxofficemojo.com/weekend/2008W36/?ref_=bo_wey_table_20,https://www.boxofficemojo.com/release/rl2537915905/?ref_=bo_wey_table_20
13,Sep 12-14,82159485,77.3,101041980,48.6,131,Burn After Reading,37,https://www.boxofficemojo.com/weekend/2008W37/?ref_=bo_wey_table_19,https://www.boxofficemojo.com/release/rl4081681921/?ref_=bo_wey_table_19
12,Sep 19-21,72805930,-11.4,89307263,-11.6,137,Lakeview Terrace,38,https://www.boxofficemojo.com/weekend/2008W38/?ref_=bo_wey_table_18,https://www.boxofficemojo.com/release/rl207586817/?ref_=bo_wey_table_18
11,Sep 26-28,82148111,12.8,101343749,13.5,125,Eagle Eye,39,https://www.boxofficemojo.com/weekend/2008W39/?ref_=bo_wey_table_17,https://www.boxofficemojo.com/release/rl3427698177/?ref_=bo_wey_table_17
10,Oct 3-5,90629110,10.3,113697851,12.2,126,Beverly Hills Chihuahua,40,https://www.boxofficemojo.com/weekend/2008W40/?ref_=bo_wey_table_16,https://www.boxofficemojo.com/release/rl4084237825/?ref_=bo_wey_table_16
46,Oct 10-12,80803153,-10.8,101937331,-10.3,139,Beverly Hills Chihuahua,41,https://www.boxofficemojo.com/weekend/2008W41/?ref_=bo_wey_table_14,https://www.boxofficemojo.com/release/rl4084237825/?ref_=bo_wey_table_14
9,Oct 17-19,79992286,-1.0,100261162,-1.6,131,Max Payne,42,https://www.boxofficemojo.com/weekend/2008W42/?ref_=bo_wey_table_13,https://www.boxofficemojo.com/release/rl3999499777/?ref_=bo_wey_table_13
8,Oct 24-26,115860151,44.8,134501763,34.2,135,High School Musical 3: Senior Year,43,https://www.boxofficemojo.com/weekend/2008W43/?ref_=bo_wey_table_12,https://www.boxofficemojo.com/release/rl2807596545/?ref_=bo_wey_table_12
7,Oct 31-Nov 2,69307204,-40.2,87673009,-34.8,140,High School Musical 3: Senior Year,44,https://www.boxofficemojo.com/weekend/2008W44/?ref_=bo_wey_table_11,https://www.boxofficemojo.com/release/rl2807596545/?ref_=bo_wey_table_11
6,Nov 7-9,123379106,78.0,142496307,62.5,134,Madagascar: Escape 2 Africa,45,https://www.boxofficemojo.com/weekend/2008W45/?ref_=bo_wey_table_10,https://www.boxofficemojo.com/release/rl1382057473/?ref_=bo_wey_table_10
5,Nov 14-16,134787672,9.2,148685590,4.3,127,Quantum of Solace,46,https://www.boxofficemojo.com/weekend/2008W46/?ref_=bo_wey_table_9,https://www.boxofficemojo.com/release/rl3445261825/?ref_=bo_wey_table_9
45,Nov 21-23,154817872,14.9,164744894,10.8,118,Twilight,47,https://www.boxofficemojo.com/weekend/2008W47/?ref_=bo_wey_table_8,https://www.boxofficemojo.com/release/rl58099201/?ref_=bo_wey_table_8
4,Nov 28-30,152333947,8.8,162603106,0.3,105,Four Christmases,48,https://www.boxofficemojo.com/weekend/2008W48/?ref_=bo_wey_table_5,https://www.boxofficemojo.com/release/rl2689762817/?ref_=bo_wey_table_5
3,Dec 5-7,73440488,-51.8,82434771,-49.3,115,Four Christmases,49,https://www.boxofficemojo.com/weekend/2008W49/?ref_=bo_wey_table_4,https://www.boxofficemojo.com/release/rl2689762817/?ref_=bo_wey_table_4
2,Dec 12-14,78517597,6.9,91696655,11.2,105,The Day the Earth Stood Still,50,https://www.boxofficemojo.com/weekend/2008W50/?ref_=bo_wey_table_3,https://www.boxofficemojo.com/release/rl1548518913/?ref_=bo_wey_table_3
1,Dec 19-21,77424767,-1.4,88506299,-3.5,92,Yes Man,51,https://www.boxofficemojo.com/weekend/2008W51/?ref_=bo_wey_table_2,https://www.boxofficemojo.com/release/rl2860156417/?ref_=bo_wey_table_2
0,Dec 26-28,169982431,119.5,201594006,127.8,85,Marley & Me,52,https://www.boxofficemojo.com/weekend/2008W52/?ref_=bo_wey_table_1,https://www.boxofficemojo.com/release/rl1466140161/?ref_=bo_wey_table_1
